repository,created_at,updated_at,size,num_stars,num_forks
dusty-nv/jetson-inference,2016-07-30T19:56:47Z,2022-06-12T16:04:02Z,118782,5651,2542
lmcinnes/umap,2017-07-02T01:11:17Z,2022-06-12T16:41:29Z,59919,5627,644
mrdbourke/machine-learning-roadmap,2020-07-09T07:07:47Z,2022-06-12T20:32:24Z,25981,5620,961
ml5js/ml5-library,2017-10-03T20:45:07Z,2022-06-11T07:34:32Z,380460,5599,789
src-d/awesome-machine-learning-on-source-code,2017-06-20T13:35:45Z,2022-06-11T16:07:48Z,698,5552,824
tiny-dnn/tiny-dnn,2012-12-17T14:08:06Z,2022-06-12T01:30:51Z,25554,5540,1389
dformoso/machine-learning-mindmap,2017-08-10T04:29:24Z,2022-06-12T18:30:43Z,15538,5526,967
PRML/PRMLT,2012-09-10T08:19:18Z,2022-06-10T03:12:46Z,506,5525,2125
haifengl/smile,2014-11-20T16:28:12Z,2022-06-10T09:17:11Z,250617,5520,1082
tensorflow/serving,2016-01-26T21:48:20Z,2022-06-12T20:11:59Z,13919,5513,2128
cleverhans-lab/cleverhans,2016-09-15T00:28:04Z,2022-06-12T12:53:28Z,9368,5511,1375
alan-turing-institute/sktime,2018-11-06T15:08:24Z,2022-06-12T17:26:25Z,49522,5408,866
aymericdamien/TopDeepLearning,2016-04-27T04:13:03Z,2022-06-11T05:44:24Z,109,5405,1182
likedan/Awesome-CoreML-Models,2017-08-22T10:43:47Z,2022-06-11T11:55:10Z,3082,5357,441
alexeygrigorev/data-science-interviews,2020-03-02T19:06:53Z,2022-06-12T17:54:05Z,1126,5356,1230
rhiever/Data-Analysis-and-Machine-Learning-Projects,2015-02-12T23:03:58Z,2022-06-12T17:20:25Z,20422,5304,1955
wb14123/seq2seq-couplet,2018-02-24T02:44:52Z,2022-06-10T06:27:22Z,47,5295,1072
tensorflow/docs,2018-04-12T22:23:12Z,2022-06-12T20:10:51Z,117786,5289,4898
keras-rl/keras-rl,2016-07-02T15:53:12Z,2022-06-11T11:30:42Z,1414,5277,1340
jivoi/awesome-ml-for-cybersecurity,2016-12-20T12:46:36Z,2022-06-12T14:12:52Z,380,5233,1508
Vedenin/useful-java-links,2016-02-13T13:14:52Z,2022-06-12T00:40:07Z,2299,5229,1146
dmlc/gluon-cv,2018-02-26T01:33:21Z,2022-06-12T07:33:47Z,39665,5220,1169
amusi/daily-paper-computer-vision,2018-05-15T16:27:19Z,2022-06-12T12:19:48Z,1036,5195,1251
snorkel-team/snorkel,2016-02-26T05:52:45Z,2022-06-12T14:02:07Z,292443,5164,822
tangyudi/Ai-Learn,2020-01-28T01:55:06Z,2022-06-12T14:01:00Z,1297,5004,1320
SmirkCao/Lihang,2018-06-19T14:46:07Z,2022-06-12T01:16:56Z,10377,4945,1499
