repository,created_at,updated_at,size,num_stars,num_forks
labmlai/labml,2018-11-16T09:34:48Z,2022-06-10T17:20:44Z,104307,1096,79
wzy6642/Machine-Learning-in-Action-Python3,2018-12-28T00:59:52Z,2022-06-12T01:53:38Z,4299,1094,455
shobrook/BitVision,2018-01-03T08:33:25Z,2022-06-12T12:20:39Z,211801,1089,146
devAmoghS/Machine-Learning-with-Python,2018-03-02T14:54:11Z,2022-06-11T20:50:43Z,822,1084,178
philipperemy/yolo-9000,2017-04-15T03:24:23Z,2022-05-17T12:45:50Z,181405,1084,310
wagenaartje/neataptic,2017-02-23T10:02:16Z,2022-06-08T22:02:29Z,3219,1082,271
JustGlowing/minisom,2013-07-03T10:10:06Z,2022-06-08T18:57:06Z,16359,1081,344
BindsNET/bindsnet,2018-02-09T19:42:37Z,2022-06-08T07:57:51Z,30038,1080,285
awslabs/sockeye,2017-06-08T07:44:30Z,2022-06-12T11:54:42Z,9708,1079,315
datumbox/datumbox-framework,2014-10-18T18:10:08Z,2022-05-30T23:54:20Z,4725,1077,295
SciSharp/NumSharp,2018-10-10T00:10:09Z,2022-06-07T12:36:05Z,33764,1075,167
IIT-Lab/Paper-with-Code-of-Wireless-communication-Based-on-DL,2019-02-21T04:51:40Z,2022-06-12T11:46:23Z,1672,1074,479
databricks/spark-sklearn,2015-09-02T18:44:51Z,2022-06-12T01:30:28Z,801,1070,233
BorealisAI/advertorch,2018-11-29T22:17:33Z,2022-06-09T03:19:08Z,8587,1069,172
kritiksoman/GIMP-ML,2020-03-30T07:04:20Z,2022-06-11T16:29:33Z,117954,1069,82
mihail911/nlp-library,2017-08-10T06:53:37Z,2022-06-10T14:54:31Z,65,1061,93
GoogleCloudPlatform/data-science-on-gcp,2017-02-10T16:46:57Z,2022-06-09T22:17:45Z,8147,1060,617
chainer/chainerrl,2017-01-30T04:58:15Z,2022-06-09T02:10:38Z,14530,1057,224
oracle/tribuo,2020-06-16T09:59:48Z,2022-06-11T12:52:57Z,7164,1056,150
ModelOriented/DALEX,2018-02-18T03:24:12Z,2022-06-10T12:46:18Z,554017,1055,141
neomatrix369/awesome-ai-ml-dl,2018-12-23T19:55:49Z,2022-06-11T21:45:09Z,80148,1054,304
benthecoder/yt-channels-DS-AI-ML-CS,2021-06-14T07:31:26Z,2022-06-11T05:11:56Z,159,1053,118
fendouai/OpenCVTutorials,2020-02-17T15:21:43Z,2022-06-12T14:46:03Z,237,1052,307
MorvanZhou/Evolutionary-Algorithm,2017-07-15T09:50:11Z,2022-06-09T07:42:35Z,2316,1051,619
gradslam/gradslam,2020-11-06T03:09:31Z,2022-06-12T09:13:05Z,74053,1051,127
DeepGraphLearning/graphvite,2019-07-16T15:48:20Z,2022-06-12T20:01:03Z,5657,1047,138
open-metadata/OpenMetadata,2021-08-01T21:17:17Z,2022-06-12T20:25:09Z,633142,1040,187
adeshpande3/Tensorflow-Programs-and-Tutorials,2016-12-09T15:30:47Z,2022-05-18T09:05:05Z,360364,1040,331
Shujian2015/FreeML,2018-01-24T09:06:53Z,2022-06-10T02:25:08Z,79,1040,515
learning-at-home/hivemind,2020-02-27T13:50:19Z,2022-06-12T05:42:53Z,12345,1031,63
tensorflow/tfjs-node,2018-02-12T18:23:36Z,2022-05-21T10:25:16Z,144392,1030,116
oracle/Skater,2017-01-26T05:45:42Z,2022-06-11T09:59:12Z,374879,1030,172
KevinGong2013/ChineseIDCardOCR,2016-08-17T03:31:34Z,2022-06-10T11:44:26Z,11345,1029,196
quic/aimet,2020-04-21T18:57:10Z,2022-06-12T11:49:04Z,6950,1026,197
jonathan-laurent/AlphaZero.jl,2019-09-04T02:00:41Z,2022-06-11T21:36:42Z,20654,1022,104
dalmia/Deep-Learning-Book-Chapter-Summaries,2017-10-27T09:48:08Z,2022-05-28T09:10:19Z,6062,1020,309
tf-encrypted/tf-encrypted,2018-03-21T18:22:13Z,2022-06-11T13:28:16Z,23200,1016,181
EddyVerbruggen/nativescript-plugin-firebase,2015-11-22T14:54:52Z,2022-06-09T02:49:53Z,50841,1015,464
despoisj/DeepAudioClassification,2016-11-27T12:00:41Z,2022-06-12T07:15:37Z,69,1014,214
jermwatt/machine_learning_refined,2016-08-12T14:13:30Z,2022-06-12T05:52:04Z,557981,1010,417
iver56/audiomentations,2019-02-12T16:36:24Z,2022-06-10T06:50:51Z,2784,1007,128
